Name	Abbr	Group	ISSN	eISSN	IF_2025	Five_Year_JIF	JIF_Quartile	JIF_Rank
Nature Conservation Research	NAT CONSERV RES	SARANSK FOND PODDERZKI & RAZVITIA ZAPOVEDNYH	2500-008X	2500-008X	1.7	1.1	Q2	35/73
PANCREAS	PANCREAS	LIPPINCOTT WILLIAMS & WILKINS	0885-3177	1536-4828	1.7	2.3	Q3	103/147
ROFO-FORTSCHRITTE AUF DEM GEBIET DER RONTGENSTRAHLEN UND DER BILDGEBENDEN VERFAHREN	ROFO-FORTSCHR RONTG	GEORG THIEME VERLAG KG	1438-9029	1438-9010	1.7	2.0	Q3	130/212
TROPICAL ECOLOGY	TROP ECOL	SPRINGERNATURE	0564-3295	2661-8982	1.7	1.7	Q3	131/200
ANTICANCER RESEARCH	ANTICANCER RES	INT INST ANTICANCER RESEARCH	0250-7005	1791-7530	1.7	1.8	Q4	259/326
INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS	INT J THEOR PHYS	SPRINGER/PLENUM PUBLISHERS	0020-7748	1572-9575	1.7	1.4	Q3	58/114
Journal of Earth System Science	J EARTH SYST SCI	INDIAN ACAD SCIENCES	2347-4327	0973-774X	1.7	1.8	Q3	165/258
JOURNAL OF HYDRAULIC RESEARCH	J HYDRAUL RES	TAYLOR & FRANCIS LTD	0022-1686	1814-2079	1.7	2.0	Q3	113/183
Journal of Pipeline Systems Engineering and Practice	J PIPELINE SYST ENG	ASCE-AMER SOC CIVIL ENGINEERS	1949-1190	1949-1204	1.7	1.8	Q3	113/183
Journal of Space Safety Engineering	J SPACE SAF ENG	ELSEVIER	2468-8975	2468-8967	1.7		Q2	23/55
Magnetic Resonance Letters	MAGN RESON LETT	KEAI PUBLISHING LTD	2097-0048	2772-5162	1.7	1.7	Q3	25/44
Quantum Beam Science	QUANTUM BEAM SCI	MDPI		2412-382X	1.7	1.5	Q3	22/37
Water Resources and Irrigation Management-WRIM	WATER RESOUR IRRIG M	UNIV FEDERAL RECONCAVO BAHIA	2316-6886	2316-6886	1.7	1.1	Q3	91/131
Algorithms for Molecular Biology	ALGORITHM MOL BIOL	BMC		1748-7188	1.7	1.5	Q3	50/67
Journal of Organization Design	J ORGAN DES	SPRINGERNATURE		2245-408X	1.7	2.3	Q3	212/316
SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY	SCAND J GASTROENTERO	TAYLOR & FRANCIS LTD	0036-5521	1502-7708	1.7	1.8	Q3	103/147
Soil and Water Research	SOIL WATER RES	CZECH ACADEMY AGRICULTURAL SCIENCES	1801-5395	1805-9384	1.7	2.5	Q3	91/131
ACTA BIOCHIMICA POLONICA	ACTA BIOCHIM POL	FRONTIERS MEDIA SA		1734-154X	1.7	2.0	Q4	271/319
CHEMOTHERAPY	CHEMOTHERAPY	KARGER	0009-3157	1421-9794	1.7	2.0	Q3	256/352
JOURNAL OF AOAC INTERNATIONAL	J AOAC INT	OXFORD UNIV PRESS INC	1060-3271	1944-7922	1.7	1.8	Q3	78/111
Journal of Electromagnetic Engineering and Science	J ELECTROMAGN ENG SC	KOREAN INST ELECTROMAGNETIC ENGINEERING & SCIENCE	2671-7255	2671-7263	1.7	1.4	Q3	253/366
PNEUMOLOGIE	PNEUMOLOGIE	GEORG THIEME VERLAG KG	0934-8387	1438-8790	1.7	1.2	Q3	75/108
Reumatologia	REUMATOLOGIA	TERMEDIA PUBLISHING HOUSE LTD	0034-6233	2084-9834	1.7		Q3	40/58
Clinical and Experimental Hepatology	CLIN EXP HEPATOL	TERMEDIA PUBLISHING HOUSE LTD	2392-1099	2449-8238	1.7	1.8	Q3	103/147
CYTOTECHNOLOGY	CYTOTECHNOLOGY	SPRINGER	0920-9069	1573-0778	1.7	2.1	Q4	136/177
Journal of Biochemistry	J BIOCHEM	OXFORD UNIV PRESS	0021-924X	1756-2651	1.7	2.1	Q4	271/319
JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER	J THERMOPHYS HEAT TR	AMER INST AERONAUTICS ASTRONAUTICS	0887-8722	1533-6808	1.7	1.6	Q3	49/79
Metabolic Syndrome and Related Disorders	METAB SYNDR RELAT D	"MARY ANN LIEBERT, INC"	1540-4196	1557-8518	1.7	2.1	Q3	141/195
ROBOMECH Journal	ROBOMECH J	SPRINGERNATURE	2197-4225	2197-4225	1.7	1.8	Q3	51/79
Automatika	AUTOMATIKA-UK	TAYLOR & FRANCIS LTD	0005-1144	1848-3380	1.7	1.5	Q3	57/89
Baghdad Science Journal	BAGHDAD SCI J	"COLL SCIENCE WOMEN, UNIV BAGHDAD"	2078-8665	2411-7986	1.7	1.5	Q2	64/135
Canadian Pharmacists Journal	CAN PHARM J	SAGE PUBLICATIONS INC	1715-1635	1913-701X	1.7	1.7	Q3	256/352
International Journal of Corrosion and Scale Inhibition	INT J CORROS SCALE I	VSEROSSIISKAYA ASSOTSIATSIYA KORROZIONISTOV	2305-6894	2305-6894	1.7	2.2	Q4	355/460
International Journal of E-Health and Medical Communications	INT J E-HEALTH MED C	IGI GLOBAL	1947-315X	1947-3168	1.7	1.1	Q4	46/48
JOURNAL OF THE MECHANICAL BEHAVIOR OF MATERIALS	J MECH BEHAV MATER	DE GRUYTER POLAND SP Z O O	0334-8938	2191-0243	1.7	1.9	Q3	114/171
REVIEW OF SCIENTIFIC INSTRUMENTS	REV SCI INSTRUM	AIP Publishing	0034-6748	1089-7623	1.7	1.7	Q3	51/79
European Journal of Breast Health	EUR J BREAST HEALTH	GALENOS PUBL HOUSE		2587-0831	1.7	2.0	Q4	259/326
Foundations and Trends in Entrepreneurship	FOUND TRENDS ENTREP	NOW PUBLISHERS INC	1551-3114	1551-3122	1.7	2.1	Q3	212/316
Journal of Spatial Science	J SPAT SCI	TAYLOR & FRANCIS LTD	1449-8596	1836-5655	1.7	1.6	Q3	43/65
Revista de Gastroenterologia de Mexico	REV GASTROENTEROL ME	ELSEVIER	0375-0906	0375-0906	1.7	1.6	Q3	103/147
Cellular Reprogramming	CELL REPROGRAM	"MARY ANN LIEBERT, INC"	2152-4971	2152-4998	1.7	1.5	Q3	134/191
Critical Care and Resuscitation	CRIT CARE RESUSC	ELSEVIER	1441-2772	1441-2772	1.7	2.0	Q3	41/62
Journal of Medical and Biological Engineering	J MED BIOL ENG	SPRINGER HEIDELBERG	1609-0985	2199-4757	1.7	1.7	Q4	95/124
Peptide Science	PEPTIDE SCI	WILEY	2475-8817	2475-8817	1.7	2.1	Q3	59/79
ASSEMBLY AUTOMATION	ASSEMBLY AUTOM	EMERALD GROUP PUBLISHING LTD	0144-5154	1758-4078	1.7	1.7	Q3	57/89
Gastroenterology Research	GASTROENTEROL RES	ELMER PRESS INC	1918-2805	1918-2813	1.7	1.7	Q3	103/147
GROWTH FACTORS	GROWTH FACTORS	TAYLOR & FRANCIS LTD	0897-7194	1029-2292	1.7	2.0	Q4	153/191
Iranian Journal of Microbiology	IRAN J MICROBIOL	UNIV MEDICAL SCIENCES-DANISHGAH-I ULUM-I PIZISHKI-I TIHRAN	2008-3289	2008-4447	1.7	2.0	Q4	136/163
Journal of Management History	J MANAG HIST	EMERALD GROUP PUBLISHING LTD	1751-1348	1758-7751	1.7	1.5	Q3	289/420
JOURNAL OF POLYMER ENGINEERING	J POLYM ENG	WALTER DE GRUYTER GMBH	0334-6447	2191-0340	1.7	1.8	Q3	68/94
METEOROLOGISCHE ZEITSCHRIFT	METEOROL Z	E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG	0941-2948	1610-1227	1.7	1.7	Q4	90/111
Italian Journal of Food Safety	ITAL J FOOD SAF	PAGEPRESS PUBL	2239-7132	2239-7132	1.7	1.7	Q3	128/181
Journal of Simulation	J SIMUL	TAYLOR & FRANCIS LTD	1747-7778	1747-7786	1.7	1.9	Q3	67/106
Journal of Vascular Access	J VASC ACCESS	SAGE PUBLICATIONS LTD	1129-7298	1724-6032	1.7	2.4	Q3	68/98
Organization Technology and Management in Construction	ORGAN TECHNOL MANAG	SCIENDO	1847-5450	1847-6228	1.7	1.6	Q3	289/420
Translational Cancer Research	TRANSL CANCER RES	AME PUBLISHING COMPANY	2218-676X	2219-6803	1.7	1.7	Q4	259/326
Journal of Consumer Protection and Food Safety	J CONSUM PROT FOOD S	SPRINGER INT PUBL AG	1661-5751	1661-5867	1.7	2.0	Q3	128/181
Journal of Superconductivity and Novel Magnetism	J SUPERCOND NOV MAGN	SPRINGER	1557-1939	1557-1947	1.7	1.8	Q3	57/79
Current Analytical Chemistry	CURR ANAL CHEM	BENTHAM SCIENCE PUBL LTD	1573-4110	1875-6727	1.7	1.5	Q3	78/111
Environmental Data Science	ENVIRON DATA SCI	CAMBRIDGE UNIV PRESS		2634-4602	1.7	1.7	Q4	302/374
GERMS	GERMS	EUROPEAN ACAD HIV-AIDS & INFECTIOUS DISEASES	2248-2997	2248-2997	1.7	1.9	Q3	102/137
JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE	J EXP THEOR ARTIF IN	TAYLOR & FRANCIS LTD	0952-813X	1362-3079	1.7	1.8	Q3	149/204
MENDELEEV COMMUNICATIONS	MENDELEEV COMMUN	ELSEVIER	0959-9436	1364-551X	1.7	1.3	Q3	158/239
Cell Journal	CELL J	ROYAN INST	2228-5806	2228-5814	1.7	2.0	Q4	181/204
COMPUTATIONAL INTELLIGENCE	COMPUT INTELL-US	WILEY	0824-7935	1467-8640	1.7	2.1	Q3	149/204
International Review for Spatial Planning and Sustainable Development	INT REV SPAT PLAN SU	INT COMMUNITY SPATIAL PLANNING & SUSTAINABLE DEVELOPMENT	2187-3666	2187-3666	1.7	1.7	Q4	89/102
Journal of Sustainable Mining	J SUSTAIN MINING	Glowny Instytut Gornictwa	2543-4950	2300-3960	1.7		Q3	18/33
RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY	RUSS J BIOORG CHEM+	MAIK NAUKA/INTERPERIODICA/SPRINGER	1068-1620	1608-330X	1.7	1.3	Q3	35/57
IET Energy Systems Integration	IET ENERG SYST INTEG	WILEY		2516-8401	1.7	2.1	Q3	253/366
Tribology-Materials Surfaces & Interfaces	TRIBOL-MATER SURF IN	SAGE PUBLICATIONS INC	1751-5831	1751-584X	1.7	2.0	Q3	17/23
Journal of Critical Care Medicine	J CRIT CARE MED	SCIENDO	2393-1809	2393-1817	1.7	1.4	Q3	41/62
Journal of Economics	J ECON	SPRINGER WIEN	0931-8658	1617-7134	1.7	1.7	Q2	260/617
JOURNAL OF PHASE EQUILIBRIA AND DIFFUSION	J PHASE EQUILIB DIFF	SPRINGER	1547-7037	1863-7345	1.7	1.5	Q3	50/96
EUROPEAN PHYSICAL JOURNAL B	EUR PHYS J B	SPRINGER	1434-6028	1434-6036	1.7	1.5	Q3	57/79
JOURNAL OF MUSCLE RESEARCH AND CELL MOTILITY	J MUSCLE RES CELL M	SPRINGER	0142-4319	1573-2657	1.7	2.6	Q4	181/204
Reaction Kinetics Mechanisms and Catalysis	REACT KINET MECH CAT	SPRINGER	1878-5190	1878-5204	1.7	1.7	Q4	159/185
REVISTA MEXICANA DE ASTRONOMIA Y ASTROFISICA	REV MEX ASTRON ASTR	"UNIV NACIONAL AUTONOMA MEXICO, INST DE ASTRONOMIA"	0185-1101		1.7	1.3	Q3	47/84
ELECTROCHEMISTRY	ELECTROCHEMISTRY	ELECTROCHEMICAL SOC JAPAN	1344-3542	2186-2451	1.7	1.4	Q4	34/44
Intelligent Buildings International	INTELL BUILD INT	TAYLOR & FRANCIS LTD	1750-8975	1756-6932	1.7	2.3	Q3	53/95
Wind	WIND-BASEL	MDPI		2674-032X	1.7	1.6	Q4	151/182
Journal of Algorithms & Computational Technology	J ALGORITHMS COMPUT	SAGE PUBLICATIONS LTD	1748-3018	1748-3026	1.7	1.2	Q4	133/175
COMPUTING AND INFORMATICS	COMPUT INFORM	SLOVAK ACAD SCIENCES INST INFORMATICS	1335-9150	1335-9150	1.7	1.1	Q3	149/204
Service Oriented Computing and Applications	SERV ORIENTED COMPUT	SPRINGERNATURE	1863-2386	1863-2394	1.7	1.6	Q4	133/175
Toxicologie Analytique et Clinique	TOXICOL ANAL CLIN	ELSEVIER MASSON SAS EDITEUR	2352-0078	2352-0086	1.7	1.2	Q4	90/106
International Journal of Human Capital and Information Technology Professionals	INT J HUM CAP INF TE	IGI GLOBAL	1947-3478	1947-3486	1.7	1.6	Q3	289/420
MicroRNA	MICRORNA	BENTHAM SCIENCE PUBL LTD	2211-5366	2211-5374	1.7		Q4	271/319
Physchem	PHYSCHEM-BASEL	MDPI		2673-7167	1.7	1.6	Q4	159/185
Nanomedicine Journal	NANOMED J	MASHHAD UNIV MED SCIENCES	2322-3049	2322-5904	1.7	1.4	Q4	125/147
Current Green Chemistry	CURR GREEN CHEM	BENTHAM SCIENCE PUBL LTD	2213-3461	2213-347X	1.7	1.7	Q3	158/239
Management Revue	MANAG REVUE	NOMOS VERLAGSGESELLSCHAFT MBH & CO KG	0935-9915	1861-9908	1.7	1.7	Q3	289/420
Economic Issues	ECON ISS	ECONOMIC ISSUES EDUCATION FUND	1363-7029	1363-7029	1.7	1.4	Q2	260/617
Agrisost	AGRISOST	UNIV CAMAGUEY IGNACIO AGRAMONTE LOYNAZ	1025-0247	1025-0247	1.7	0.4	Q2	37/94
International Journal of Reconfigurable Computing	INT J RECONFIGURABLE	WILEY	1687-7195	1687-7209	1.7		Q4	46/60
Journal of Global History	J GLOBAL HIST	CAMBRIDGE UNIV PRESS	1740-0228	1740-0236	1.6	1.9	Q1	6/538
Research Studies in Music Education	RES STUD MUSIC EDUC	SAGE PUBLICATIONS LTD	1321-103X	1834-5530	1.6	1.9		
MIND	MIND	OXFORD UNIV PRESS	0026-4423	1460-2113	1.6	2.4		
ECONOMIC HISTORY REVIEW	ECON HIST REV	WILEY	0013-0117	1468-0289	1.6	2.3	Q1	6/538
Novye Issledovaniya Tuvy-New Research of Tuva	NOVYE ISSLED TUVY	CH K LAMAZHAA		2079-8482	1.6	1.0	Q2	83/271
Nationalities Papers-The Journal of Nationalism and Ethnicity	NATL PAP	CAMBRIDGE UNIV PRESS	0090-5992	1465-3923	1.6		Q1	6/538
MUSIC PERCEPTION	MUSIC PERCEPT	UNIV CALIFORNIA PRESS	0730-7829		1.6	2.0	Q3	70/102
Language and Linguistics Compass	LANG LINGUIST COMPAS	WILEY	1749-818X	1749-818X	1.6	3.1		
Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales Serie A-Matematicas	RACSAM REV R ACAD A	SPRINGER-VERLAG ITALIA SRL	1578-7303	1579-1505	1.6	1.5	Q1	53/483
Virtual Archaeology Review	VIRTUAL ARCHAEOL REV	"UNIV POLITECNICA VALENCIA, EDITORIAL UPV"	1989-9947	1989-9947	1.6	1.8		
Advances in Archaeological Practice	ADV ARCHAEOL PRACT	CAMBRIDGE UNIV PRESS	2326-3768	2326-3768	1.6	1.3		
European Journal of Special Needs Education	EUR J SPEC NEEDS EDU	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0885-6257	1469-591X	1.6	2.9	Q1	14/62
BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY	B AM MATH SOC	AMER MATHEMATICAL SOC	0273-0979	1088-9485	1.6	2.1	Q1	53/483
International Journal of Cultural Policy	INT J CULT POLICY	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1028-6632	1477-2833	1.6	1.9	Q1	9/64
Journal of Language and Politics	J LANG POLIT	JOHN BENJAMINS PUBLISHING CO	1569-2159	1569-9862	1.6	1.6	Q2	80/303
Law & Policy	LAW POLICY	WILEY	0265-8240	1467-9930	1.6	1.6	Q1	74/434
Canadian Slavonic Papers	CAN SLAVON PAP	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0008-5006	2375-2475	1.6	1.1	Q2	15/39
CAMBRIDGE ARCHAEOLOGICAL JOURNAL	CAMB ARCHAEOL J	CAMBRIDGE UNIV PRESS	0959-7743	1474-0540	1.6	1.6		
Hypatia-A Journal of Feminist Philosophy	HYPATIA	CAMBRIDGE UNIV PRESS	0887-5367	1527-2001	1.6	2.0	Q2	25/70
Journal of Asian Architecture and Building Engineering	J ASIAN ARCHIT BUILD	TAYLOR & FRANCIS LTD	1346-7581	1347-2852	1.6	1.8	Q3	54/95
Games and Culture	GAMES CULT	SAGE PUBLICATIONS INC	1555-4120	1555-4139	1.6	2.4	Q1	9/64
International Journal of Refugee Law	INT J REFUG LAW	OXFORD UNIV PRESS	0953-8186	1464-3715	1.6	1.8	Q1	74/434
PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY	P LOND MATH SOC	WILEY	0024-6115	1460-244X	1.6	1.7	Q1	53/483
JOURNAL OF DIFFERENTIAL GEOMETRY	J DIFFER GEOM	"INT PRESS BOSTON, INC"	0022-040X	1945-743X	1.6	2.0	Q1	53/483
JOURNAL OF FUNCTIONAL ANALYSIS	J FUNCT ANAL	ACADEMIC PRESS INC ELSEVIER SCIENCE	0022-1236	1096-0783	1.6	1.9	Q1	53/483
ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE	ANN SCI ECOLE NORM S	SOC MATHEMATIQUE FRANCE	0012-9593	1873-2151	1.6	1.7	Q1	53/483
LINGUISTIC INQUIRY	LINGUIST INQ	MIT PRESS	0024-3892	1530-9150	1.6	1.9	Q2	80/303
CLINICAL SOCIAL WORK JOURNAL	CLIN SOC WORK J	SPRINGER	0091-1674	1573-3343	1.6	2.7	Q2	24/94
Linguistic Typology	LINGUIST TYPOL	WALTER DE GRUYTER GMBH	1430-0532	1613-415X	1.6	2.0	Q2	80/303
Learning Disabilities Research & Practice	LEARN DISABIL RES PR	SAGE PUBLICATIONS INC	0938-8982	1540-5826	1.6	2.3	Q1	14/62
Mediterranean Politics	MEDITERR POLIT	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1362-9395	1743-9418	1.6	1.8	Q1	22/182
Review of African Political Economy	REV AFR POLIT ECON	ScienceOpen	0305-6244	1740-1720	1.6	1.8	Q1	22/182
Journal of East Asian Studies	J EAST ASIAN STUD	CAMBRIDGE UNIV PRESS	1598-2408	2234-6643	1.6	1.6	Q1	22/182
First Language	FIRST LANG	SAGE PUBLICATIONS LTD	0142-7237	1740-2344	1.6	1.9	Q2	80/303
Journal of Advanced Academics	J ADV ACAD	SAGE PUBLICATIONS INC	1932-202X	2162-9536	1.6	1.7	Q1	14/62
Journal of Criminal Psychology	J CRIM PSYCHOL	EMERALD GROUP PUBLISHING LTD	2009-3829	2009-3829	1.6	1.5	Q2	43/111
Analysis and Mathematical Physics	ANAL MATH PHYS	SPRINGER BASEL AG	1664-2368	1664-235X	1.6	1.5	Q1	53/483
INDUSTRIAL LAW JOURNAL	IND LAW J-UK	OXFORD UNIV PRESS	0305-9332	1464-3669	1.6	1.7	Q1	74/434
Psychology of Music	PSYCHOL MUSIC	SAGE PUBLICATIONS INC	0305-7356	1741-3087	1.6	2.1	Q3	70/115
Educational Assessment Evaluation and Accountability	EDUC ASSESS EVAL ACC	SPRINGER HEIDELBERG	1874-8597	1874-8600	1.6	3.5	Q2	280/756
Intellectual and Developmental Disabilities	INTELLECT DEV DISAB	AMER ASSOC INTELLECTUAL and DEVELOPMENTAL DISABILITIES-AAIDD	1934-9491	1934-9556	1.6	2.1	Q1	14/62
Axioms	AXIOMS	MDPI		2075-1680	1.6	1.5	Q2	98/343
Nordic Social Work Research	NORD SOC WORK RES	TAYLOR & FRANCIS LTD	2156-857X	2156-8588	1.6		Q2	24/94
INTERNATIONAL POLITICAL SCIENCE REVIEW	INT POLIT SCI REV	SAGE PUBLICATIONS LTD	0192-5121	1460-373X	1.6	2.7	Q2	134/322
Fudan Journal of the Humanities and Social Sciences	FUDAN J HUM SOC SCI	SPRINGER HEIDELBERG	1674-0750	2198-2600	1.6	1.4	Q2	83/271
JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS	J EMOT BEHAV DISORD	SAGE PUBLICATIONS INC	1063-4266	1538-4799	1.6	2.0	Q1	14/62
Australian Journal of Learning Difficulties	AUST J LEARN DIFFIC	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1940-4158	1940-4166	1.6	1.8	Q1	14/62
COMPARATIVE EDUCATION REVIEW	COMP EDUC REV	UNIV CHICAGO PRESS	0010-4086	1545-701X	1.6	2.1	Q2	280/756
Asian Journal of International Law	ASIAN J INT LAW	CAMBRIDGE UNIV PRESS	2044-2513	2044-2521	1.6	1.0	Q1	74/434
International Spectator	INT SPECT	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0393-2729	1751-9721	1.6	1.9	Q2	64/169
Open House International-Sustainable & Smart Architecture and Urban Studies	OPEN HOUSE INT	EMERALD GROUP PUBLISHING LTD	0168-2601	2633-9838	1.6	1.3	Q3	47/76
BEHAVIORAL DISORDERS	BEHAV DISORDERS	SAGE PUBLICATIONS INC	0198-7429	2163-5307	1.6	2.4	Q1	14/62
Societies	SOCIETIES	MDPI		2075-4698	1.6	1.9	Q2	91/219
SOUTH AFRICAN ARCHAEOLOGICAL BULLETIN	S AFR ARCHAEOL BULL	SOUTH AFRICAN ARCHAEOLOGICAL SOC	0038-1969	2224-4654	1.6	0.8		
ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK	Z ANGEW MATH PHYS	SPRINGER INT PUBL AG	0044-2275	1420-9039	1.6	1.7	Q2	98/343
EDUCATIONAL STUDIES	EDUC STUD-UK	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0305-5698	1465-3400	1.6	2.7	Q2	280/756
Information and Inference-A Journal of the IMA	INF INFERENCE	OXFORD UNIV PRESS	2049-8764	2049-8772	1.6	2.3	Q2	98/343
MICROPALEONTOLOGY	MICROPALEONTOLOGY	MICRO PRESS	0026-2803	1937-2795	1.6	1.5	Q2	23/56
CRITIQUE OF ANTHROPOLOGY	CRIT ANTHROPOL	SAGE PUBLICATIONS LTD	0308-275X	1460-3721	1.6	1.6	Q1	35/141
Journal of Applied Research in Higher Education	J APPL RES HIGH EDUC	EMERALD GROUP PUBLISHING LTD	2050-7003	1758-1184	1.6	2.1	Q2	280/756
TIME & SOCIETY	TIME SOC	SAGE PUBLICATIONS LTD	0961-463X	1461-7463	1.6	2.2	Q2	83/271
Swiss Political Science Review	SWISS POLIT SCI REV	WILEY	1424-7755	1662-6370	1.6		Q2	134/322
INTERNATIONAL REVIEW OF EDUCATION	INT REV EDUC	SPRINGERNATURE	0020-8566	1573-0638	1.6	3.3	Q2	280/756
Nursing & Health Sciences	NURS HEALTH SCI	WILEY	1441-0745	1442-2018	1.6	2.5	Q2	93/192
TOPICS IN LANGUAGE DISORDERS	TOP LANG DISORD	LIPPINCOTT WILLIAMS & WILKINS	0271-8294	1550-3259	1.6	2.2	Q2	80/303
Journal of Elections Public Opinion and Parties	J ELECT PUBLIC OPIN	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1745-7289	1745-7297	1.6	2.3	Q2	134/322
JOURNAL OF MAMMALOGY	J MAMMAL	OXFORD UNIV PRESS INC	0022-2372	1545-1542	1.6	1.9	Q2	53/181
Children & Society	CHILD SOC	WILEY	0951-0605	1099-0860	1.6	1.9	Q2	24/94
International Review of Victimology	INT REV VICT	SAGE PUBLICATIONS LTD	0269-7580	2047-9433	1.6	1.8	Q2	43/111
JOURNAL OF PSYCHOLINGUISTIC RESEARCH	J PSYCHOLINGUIST RES	SPRINGER/PLENUM PUBLISHERS	0090-6905	1573-6555	1.6	1.7	Q2	80/303
Education Inquiry	EDUC INQ	TAYLOR & FRANCIS LTD		2000-4508	1.6	2.1	Q2	280/756
GEOBIOS	GEOBIOS-LYON	ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER	0016-6995	1777-5728	1.6	1.7	Q2	23/56
JOURNAL OF EARLY INTERVENTION	J EARLY INTERVENTION	SAGE PUBLICATIONS INC	1053-8151	2154-3992	1.6	1.9	Q1	14/62
Journal of Research on Educational Effectiveness	J RES EDUC EFF	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1934-5747	1934-5739	1.6	2.4	Q2	280/756
Studies in Graduate and Postdoctoral Education	STUD GRAD POSTDR EDU	EMERALD GROUP PUBLISHING LTD	2398-4686	2398-4694	1.6	2.2	Q2	280/756
AUSTRALIAN JOURNAL OF PSYCHOLOGY	AUST J PSYCHOL	TAYLOR & FRANCIS LTD	0004-9530	1742-9536	1.6	4.0	Q2	103/221
Classroom Discourse	CLASSR DISCOURSE	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1946-3014	1946-3022	1.6	2.2	Q2	280/756
Evaluation	EVALUATION-US	SAGE PUBLICATIONS INC	1356-3890	1461-7153	1.6	2.0	Q2	83/271
JOURNAL OF ZOOLOGY	J ZOOL	WILEY	0952-8369	1469-7998	1.6	2.0	Q2	53/181
Qualitative Social Work	QUAL SOC WORK	SAGE PUBLICATIONS INC	1473-3250	1741-3117	1.6	2.0	Q2	24/94
SOCIOLOGICAL INQUIRY	SOCIOL INQ	WILEY	0038-0245	1475-682X	1.6	2.4	Q2	91/219
Augmentative and Alternative Communication	AUGMENT ALTERN COMM	TAYLOR & FRANCIS LTD	0743-4618	1477-3848	1.6	2.8	Q2	75/173
Child & Family Social Work	CHILD FAM SOC WORK	WILEY	1356-7500	1365-2206	1.6	2.0	Q2	24/94
Emotions and Society	EMOTION SOC	BRISTOL UNIV PRESS & POLICY PRESS	2631-6897	2631-6900	1.6	1.7	Q2	91/219
European Journal of Social Work	EUR J SOC WORK	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1369-1457	1468-2664	1.6	2.0	Q2	24/94
ZOOLOGY	ZOOLOGY	ELSEVIER GMBH	0944-2006	1873-2720	1.6	1.7	Q2	53/181
BMJ Surgery Interventions & Health Technologies	BMJ SURG INTERV HLTH	BMJ PUBLISHING GROUP		2631-4940	1.6	2.0	Q2	156/312
Nordic Journal of Digital Literacy	NORD J DIGIT LIT	UNIVERSITETSFORLAGET	0809-6724	1891-943X	1.6	2.0	Q2	280/756
SIAM Journal on Applied Algebra and Geometry	SIAM J APPL ALGEBR G	SIAM PUBLICATIONS	2470-6566	2470-6566	1.6	1.7	Q2	98/343
Journal of Educational Administration and History	J EDUC ADM HIST	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0022-0620	1478-7431	1.6	2.1	Q2	280/756
ADAPTED PHYSICAL ACTIVITY QUARTERLY	ADAPT PHYS ACT Q	HUMAN KINETICS PUBL INC	0736-5829	1543-2777	1.6	1.9	Q2	75/173
CURRENT SOCIOLOGY	CURR SOCIOL	SAGE PUBLICATIONS LTD	0011-3921	1461-7064	1.6	2.5	Q2	91/219
ECOLOGICAL ENTOMOLOGY	ECOL ENTOMOL	WILEY	0307-6946	1365-2311	1.6	2.3	Q2	41/110
Journal of Statistics and Data Science Education	J STAT DATA SCI EDUC	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"		2693-9169	1.6	1.9	Q2	42/86
ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES	ANN I H POINCARE-PR	INST MATHEMATICAL STATISTICS-IMS	0246-0203		1.6	1.6	Q2	51/167
Couple and Family Psychology-Research and Practice	COUPLE FAM PSYCHOL	EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC	2160-4096	2160-410X	1.6	2.0	Q2	28/66
INTERNATIONAL JOURNAL OF PSYCHOLOGY	INT J PSYCHOL	JOHN WILEY & SONS LTD	0020-7594	1464-066X	1.6	2.5	Q2	103/221
